YEAR;MO;DY;Date;T2M;PRECTOTCORR;QV2M;WS10M
2000;4;15;2000/4/15;18.12;0.16;8.61;7.27
2000;4;16;2000/4/16;16.45;9.52;8.18;9.71
2000;4;17;2000/4/17;16.2;0.07;7.14;4.36
2000;4;18;2000/4/18;16.5;0.01;6.84;2.91
2000;4;19;2000/4/19;16.87;0.0;8.67;4.34
2000;4;20;2000/4/20;17.35;0.0;9.46;3.76
2000;4;21;2000/4/21;17.81;0.0;9.34;3.31
2000;4;22;2000/4/22;16.64;0.82;9.16;5.25
2000;4;23;2000/4/23;15.85;0.0;7.02;5.39
2000;4;24;2000/4/24;16.37;0.0;8.0;4.54
2000;4;25;2000/4/25;16.55;0.05;8.24;3.12
2000;4;26;2000/4/26;15.8;3.14;8.54;5.09
2000;4;27;2000/4/27;14.55;6.76;7.14;7.46
2000;4;28;2000/4/28;15.15;0.08;6.41;3.44
2000;4;29;2000/4/29;15.93;1.26;7.14;2.3
2000;4;30;2000/4/30;16.22;3.64;8.54;3.54
2000;5;1;2000/5/1;16.48;1.06;8.61;4.71
2000;5;2;2000/5/2;17.7;0.0;8.85;3.24
2000;5;3;2000/5/3;18.54;1.24;9.4;3.45
2000;5;4;2000/5/4;19.42;0.31;9.46;4.63
2000;5;5;2000/5/5;18.22;0.37;9.09;5.27
2000;5;6;2000/5/6;17.9;2.25;9.22;5.66
2000;5;7;2000/5/7;17.46;0.91;9.34;4.03
2000;5;8;2000/5/8;17.54;2.48;9.4;3.28
2000;5;9;2000/5/9;16.98;3.12;9.28;3.79
2000;5;10;2000/5/10;17.22;0.26;9.03;3.81
2000;5;11;2000/5/11;17.68;0.0;9.22;3.95
2000;5;12;2000/5/12;18.77;0.0;10.07;4.65
2000;5;13;2000/5/13;19.4;0.0;10.99;4.25
2000;5;14;2000/5/14;20.75;0.0;11.78;3.0
2000;5;15;2000/5/15;20.9;0.0;11.78;4.52
2000;5;16;2000/5/16;20.35;0.06;11.72;5.08
2000;5;17;2000/5/17;19.93;0.06;11.41;3.23
2000;5;18;2000/5/18;19.8;0.03;10.99;2.75
2000;5;19;2000/5/19;20.02;0.0;11.05;2.8
2000;5;20;2000/5/20;18.81;0.02;10.25;3.67
2000;5;21;2000/5/21;19.86;0.09;9.64;3.7
2000;5;22;2000/5/22;19.49;0.4;10.38;3.07
2000;5;23;2000/5/23;18.94;9.11;11.11;3.67
2000;5;24;2000/5/24;18.34;2.65;10.5;3.71
2000;5;25;2000/5/25;18.73;0.15;10.68;3.93
2000;5;26;2000/5/26;19.55;0.03;11.11;4.0
2000;5;27;2000/5/27;20.26;0.0;11.66;4.33
2000;5;28;2000/5/28;20.76;0.0;10.19;3.88
2000;5;29;2000/5/29;21.52;0.0;11.54;3.06
2000;5;30;2000/5/30;22.98;0.0;12.76;2.17
2000;5;31;2000/5/31;23.79;0.01;12.82;2.59
2000;6;1;2000/6/1;23.21;0.0;12.27;3.0
2000;6;2;2000/6/2;23.33;0.0;11.96;3.05
2000;6;3;2000/6/3;22.85;0.01;13.31;3.57
2000;6;4;2000/6/4;22.23;0.0;12.27;3.91
2000;6;5;2000/6/5;21.44;0.0;11.54;4.34
2000;6;6;2000/6/6;22.32;0.0;10.07;3.14
2000;6;7;2000/6/7;23.86;0.0;11.54;1.97
2000;6;8;2000/6/8;23.06;0.0;12.57;4.48
2000;6;9;2000/6/9;20.28;0.0;10.62;5.7
2000;6;10;2000/6/10;18.89;0.0;8.3;4.86
2000;6;11;2000/6/11;19.74;0.0;9.89;4.49
2000;6;12;2000/6/12;21.9;0.0;10.8;3.47
2000;6;13;2000/6/13;25.82;0.0;8.97;4.12
2000;6;14;2000/6/14;27.51;0.0;8.48;5.39
2000;6;15;2000/6/15;27.57;0.0;9.22;4.09
2000;6;16;2000/6/16;24.36;0.0;11.6;3.31
2000;6;17;2000/6/17;23.84;0.0;12.39;2.57
2000;6;18;2000/6/18;22.53;0.0;11.78;2.37
2000;6;19;2000/6/19;21.29;0.0;11.84;3.05
2000;6;20;2000/6/20;20.65;0.0;11.35;3.54
2000;6;21;2000/6/21;21.62;0.0;11.23;4.1
